FinalID,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,Consumer,ConKingdom,ConTemp,ConMassValueSI,ConTempK,ConMassG
MTD2105,Surface Area-Specific Photosynthetic Oxygen Production Rate,3.43762e-05,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,35.0,0.15,308.15,150.0
MTD2105,Surface Area-Specific Photosynthetic Oxygen Production Rate,3.80202e-05,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,40.0,0.15,313.15,150.0
MTD2106,Surface Area-Specific Photosynthetic Oxygen Production Rate,1.249e-05,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,5.0,0.15,278.15,150.0
MTD2106,Surface Area-Specific Photosynthetic Oxygen Production Rate,2.1186399999999998e-05,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,10.0,0.15,283.15,150.0
MTD2106,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000108185,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,15.0,0.15,288.15,150.0
MTD2106,Surface Area-Specific Photosynthetic Oxygen Production Rate,9.28875e-05,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,20.0,0.15,293.15,150.0
MTD2106,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000263228,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,25.0,0.15,298.15,150.0
MTD2106,Surface Area-Specific Photosynthetic Oxygen Production Rate,5.4721999999999995e-05,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,30.0,0.15,303.15,150.0
MTD2106,Surface Area-Specific Photosynthetic Oxygen Production Rate,7.98385e-05,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,35.0,0.15,308.15,150.0
MTD2106,Surface Area-Specific Photosynthetic Oxygen Production Rate,-0.0001072,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,40.0,0.15,313.15,150.0
MTD2109,POC Photosynthetic Oxygen Production Rate,5.8608999999999994e-05,gram / (1 milligram * 1 hour),Phaeodactylum tricornutum,Chromista,0.0,1.7671458656250001e-12,273.15,1.7671458656250002e-09
MTD2109,POC Photosynthetic Oxygen Production Rate,6.03913e-05,gram / (1 milligram * 1 hour),Phaeodactylum tricornutum,Chromista,5.0,1.7671458656250001e-12,278.15,1.7671458656250002e-09
MTD2109,POC Photosynthetic Oxygen Production Rate,0.000117784,gram / (1 milligram * 1 hour),Phaeodactylum tricornutum,Chromista,10.0,1.7671458656250001e-12,283.15,1.7671458656250002e-09
MTD2109,POC Photosynthetic Oxygen Production Rate,0.00014908600000000002,gram / (1 milligram * 1 hour),Phaeodactylum tricornutum,Chromista,15.0,1.7671458656250001e-12,288.15,1.7671458656250002e-09
MTD2109,POC Photosynthetic Oxygen Production Rate,0.000151722,gram / (1 milligram * 1 hour),Phaeodactylum tricornutum,Chromista,20.0,1.7671458656250001e-12,293.15,1.7671458656250002e-09
MTD2109,POC Photosynthetic Oxygen Production Rate,0.00020869,gram / (1 milligram * 1 hour),Phaeodactylum tricornutum,Chromista,25.0,1.7671458656250001e-12,298.15,1.7671458656250002e-09
MTD2109,POC Photosynthetic Oxygen Production Rate,0.000171542,gram / (1 milligram * 1 hour),Phaeodactylum tricornutum,Chromista,30.0,1.7671458656250001e-12,303.15,1.7671458656250002e-09
MTD2117,Mass-Specific Photosynthetic Oxygen Production Rate,5.59787e-05,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,10.0,0.00015,283.15,0.15
MTD2117,Mass-Specific Photosynthetic Oxygen Production Rate,8.91935e-05,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,15.0,0.00015,288.15,0.15
MTD2117,Mass-Specific Photosynthetic Oxygen Production Rate,8.57056e-05,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,20.0,0.00015,293.15,0.15
MTD2117,Mass-Specific Photosynthetic Oxygen Production Rate,0.00025625400000000003,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,25.0,0.00015,298.15,0.15
MTD2117,Mass-Specific Photosynthetic Oxygen Production Rate,0.000180548,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,30.0,0.00015,303.15,0.15
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.174855177,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,3.0,6.544984687499981e-08,276.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.17499374899999998,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,3.0,6.544984687499981e-08,276.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.181553425,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,3.0,6.544984687499981e-08,276.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.19571220600000003,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,6.0,6.544984687499981e-08,279.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.215691805,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,6.0,6.544984687499981e-08,279.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.2188986,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,6.0,6.544984687499981e-08,279.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.349126565,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,9.0,6.544984687499981e-08,282.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.349990775,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,9.0,6.544984687499981e-08,282.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.360708525,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,9.0,6.544984687499981e-08,282.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.42528900299999994,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,12.0,6.544984687499981e-08,285.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.468521285,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,12.0,6.544984687499981e-08,285.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.484263845,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,12.0,6.544984687499981e-08,285.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.517594187,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,15.0,6.544984687499981e-08,288.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.526781599,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,15.0,6.544984687499981e-08,288.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.533715947,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,15.0,6.544984687499981e-08,288.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.519833908,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,18.0,6.544984687499981e-08,291.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.5503396220000001,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,18.0,6.544984687499981e-08,291.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.560502732,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,18.0,6.544984687499981e-08,291.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.5477328920000001,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,21.0,6.544984687499981e-08,294.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.560243421,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,21.0,6.544984687499981e-08,294.15,6.54498468749998e-05
MTD608,Chlorophyll-a-Specific Carbon Production Rate,0.597413668,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),periphyton (chlorophyll a),,21.0,6.544984687499981e-08,294.15,6.54498468749998e-05
MTD2071,Population Growth Rate,0.057999999999999996,event / (1 individual * 24 hour),Planococcus citri,Metazoa,18.0,3.74127391135882e-07,291.15,0.000374127391135882
MTD2071,Population Growth Rate,0.07,event / (1 individual * 24 hour),Planococcus citri,Metazoa,20.0,3.74127391135882e-07,293.15,0.000374127391135882
MTD2071,Population Growth Rate,0.12,event / (1 individual * 24 hour),Planococcus citri,Metazoa,23.0,3.74127391135882e-07,296.15,0.000374127391135882
MTD2071,Population Growth Rate,0.17,event / (1 individual * 24 hour),Planococcus citri,Metazoa,25.0,3.74127391135882e-07,298.15,0.000374127391135882
MTD2071,Population Growth Rate,0.14,event / (1 individual * 24 hour),Planococcus citri,Metazoa,28.0,3.74127391135882e-07,301.15,0.000374127391135882
MTD2071,Population Growth Rate,0.1,event / (1 individual * 24 hour),Planococcus citri,Metazoa,30.0,3.74127391135882e-07,303.15,0.000374127391135882
MTD2071,Population Growth Rate,0.055,event / (1 individual * 24 hour),Planococcus citri,Metazoa,32.0,3.74127391135882e-07,305.15,0.000374127391135882
MTD2073,Population Growth Rate,0.3743,event / (1 individual * 24 hour),Paraphysomonas imperforata,Chromista,0.0,3.72e-12,273.15,3.7200000000000004e-09
MTD2073,Population Growth Rate,1.4727,event / (1 individual * 24 hour),Paraphysomonas imperforata,Chromista,5.0,3.72e-12,278.15,3.7200000000000004e-09
MTD2073,Population Growth Rate,2.197,event / (1 individual * 24 hour),Paraphysomonas imperforata,Chromista,10.0,3.72e-12,283.15,3.7200000000000004e-09
MTD2073,Population Growth Rate,4.1421,event / (1 individual * 24 hour),Paraphysomonas imperforata,Chromista,15.0,3.72e-12,288.15,3.7200000000000004e-09
MTD2073,Population Growth Rate,3.984,event / (1 individual * 24 hour),Paraphysomonas imperforata,Chromista,20.0,3.72e-12,293.15,3.7200000000000004e-09
MTD2079,Population Growth Rate,0.0,event / (1 individual * 24 hour),Acarus siro,Metazoa,5.0,2.31336018802116e-08,278.15,2.31336018802116e-05
MTD2079,Population Growth Rate,0.001,event / (1 individual * 24 hour),Acarus siro,Metazoa,10.0,2.31336018802116e-08,283.15,2.31336018802116e-05
MTD2079,Population Growth Rate,0.07,event / (1 individual * 24 hour),Acarus siro,Metazoa,12.5,2.31336018802116e-08,285.65,2.31336018802116e-05
MTD2079,Population Growth Rate,0.07,event / (1 individual * 24 hour),Acarus siro,Metazoa,15.0,2.31336018802116e-08,288.15,2.31336018802116e-05
MTD2079,Population Growth Rate,0.16,event / (1 individual * 24 hour),Acarus siro,Metazoa,18.0,2.31336018802116e-08,291.15,2.31336018802116e-05
MTD2079,Population Growth Rate,0.17,event / (1 individual * 24 hour),Acarus siro,Metazoa,20.0,2.31336018802116e-08,293.15,2.31336018802116e-05
MTD2079,Population Growth Rate,0.17,event / (1 individual * 24 hour),Acarus siro,Metazoa,22.5,2.31336018802116e-08,295.65,2.31336018802116e-05
MTD2079,Population Growth Rate,0.18,event / (1 individual * 24 hour),Acarus siro,Metazoa,25.0,2.31336018802116e-08,298.15,2.31336018802116e-05
MTD2079,Population Growth Rate,0.18,event / (1 individual * 24 hour),Acarus siro,Metazoa,27.5,2.31336018802116e-08,300.65,2.31336018802116e-05
MTD2079,Population Growth Rate,0.15,event / (1 individual * 24 hour),Acarus siro,Metazoa,30.0,2.31336018802116e-08,303.15,2.31336018802116e-05
MTD2079,Population Growth Rate,0.11,event / (1 individual * 24 hour),Acarus siro,Metazoa,32.5,2.31336018802116e-08,305.65,2.31336018802116e-05
MTD2079,Population Growth Rate,0.09,event / (1 individual * 24 hour),Acarus siro,Metazoa,35.0,2.31336018802116e-08,308.15,2.31336018802116e-05
MTD2081,Population Growth Rate,0.0,event / (1 individual * 24 hour),Aleuroglyphus ovatus,Metazoa,5.0,3.3896355353655603e-08,278.15,3.38963553536556e-05
MTD2081,Population Growth Rate,0.002,event / (1 individual * 24 hour),Aleuroglyphus ovatus,Metazoa,10.0,3.3896355353655603e-08,283.15,3.38963553536556e-05
MTD2081,Population Growth Rate,0.06,event / (1 individual * 24 hour),Aleuroglyphus ovatus,Metazoa,12.5,3.3896355353655603e-08,285.65,3.38963553536556e-05
